4,GREEDY,GRASP3,GRASP5,EXTRAMIL
data/d493.tsp,26.057237,26.04559,26.04559,25.813796
data/u574.tsp,50.918048,49.241155,57.242112,46.436126
data/pr439.tsp,131282.092115,151103.993956,168675.95339,127255.230309
data/att532.tsp,112099.445694,118544.36034,132550.933461,104067.224958
data/d657.tsp,40.776734,40.776734,42.776734,40.017704
data/vm1084.tsp,85.163515,104.097219,119.433403,80.692301
data/pcb442.tsp,75.939847,76.507929,88.297841,65.611549
data/gr431.tsp,2337.282205,2517.850434,2818.526998,2235.616627
data/rat783.tsp,11255.070245,12328.889987,13961.394613,10222.725162
data/p654.tsp,30.12899,25.236068,25.478709,23.556349
data/u724.tsp,46.576491,50.064495,57.278087,48.889103
data/pr1002.tsp,315596.587394,373807.612898,413408.760472,302039.15039
data/gr666.tsp,4000.514344,4293.86958,4657.80598,3585.960571
data/rd400.tsp,96.28217,111.436173,131.798239,85.556349
data/ali535.tsp,2555.189604,2889.63736,3104.376274,2347.013967
data/rat575.tsp,8449.318332,9315.307816,10342.972057,7965.957173
data/dsj1000.tsp,24630960.101473,27048088.595491,29697238.25946,21991194.266175
data/lin318.tsp,54033.576773,56685.031003,63530.289607,49326.902624
