4,GREEDY,GRASP3,GRASP5,EXTRAMIL
data/d493.tsp,24.262534,23.749301,23.749301,24.262534
data/u574.tsp,45.430241,43.381774,43.381774,44.795988
data/pr439.tsp,115749.989837,110939.102921,114635.263053,118342.646394
data/att532.tsp,94229.318076,92752.701815,92635.0801,99009.057058
data/d657.tsp,39.454393,37.721349,37.721349,40.017704
data/vm1084.tsp,77.950845,74.0,75.656854,75.656854
data/pcb442.tsp,65.785844,62.371631,62.549776,63.954695
data/gr431.tsp,2078.964548,2008.407584,1986.663534,2052.819366
data/rat783.tsp,9593.293627,9614.450672,9697.721514,9765.423732
data/p654.tsp,21.899495,21.656854,21.656854,22.727922
data/u724.tsp,45.414214,44.312611,44.312611,45.675511
data/pr1002.tsp,277580.338306,279573.292793,284249.966444,286660.77507
data/gr666.tsp,3331.62034,3311.219826,3332.793384,3418.709484
data/rd400.tsp,82.242641,81.414214,82.242641,84.727922
data/ali535.tsp,2185.553567,2123.801301,2140.824363,2236.195952
data/rat575.tsp,7260.229982,7286.304601,7367.342243,7511.195716
data/dsj1000.tsp,20858354.59905,20431866.247661,20589971.052741,20760271.011305
data/lin318.tsp,44561.473937,44315.318514,44126.496359,45951.128081
